,Unnamed: 0,star_names,distance,mass,radius,luminosity,solar_mass,solar_radius,apparent_magintude,star_gravity
57,57,Delta Cephei,0887,"2,000",44.5,"2,000",0.0,4.572953500000001,4.07,0.0
58,58,Mu Cephei,"06,000","135,000",972,"135,000",0.0,99.885636,4.08,1.334739061179768e+33
59,59,Titawin,044.25,3.57,1.48,3.57,0.00340787916,0.15208924,4.09,0
60,60,Rho Cassiopeiae,"08,154","347,000530,000",636981,"347,000 - 530,000",0.0,0.0,4.1,0.0
61,61,P Cygni,"05,545","610,000",76,"610,000",0.0,7.809988000000001,4.82,0
62,62,La Superba,"01,000","2,4725,800",129342,"2,472 - 5,800",0.0,0.0,4.86,0
63,63,VV Cephei,"04,900","200,000","5161050","200,000",0.0,0.0,4.91,2.8333467348794618e+32
64,64,61 Cygni,011.41,0.153,0.665,0.153,0.000146051964,0.068337395,5.20,0.0
65,65,R Doradus,0178,"4,350",298,"4,350",0.0,30.623374,5.4,2.2248051296236177e+33
66,66,Polaris Australis,0281,38,3.74,38,0.036274344,0.38433362,5.47,0.0
67,67,R Coronae Borealis,"04,566","10,000",85,"10,000",0.0,8.734855,5.71,4.819469336024913e+32
68,68,54 Piscium,036.1,0.52,0.94,0.52,0.0004963857599999999,0.09659721999999997,5.88,0.0
69,69,Mira,0300,"9,000",370,"9,000",0.0,38.02231,6.57,0
70,70,RW Cephei,"014,000","417,000","1158","417,000",0.0,0.0,6.65,2.266959332079644e+32
71,71,Lacaille 8760,012.87,0.072,0.51,0.072,6.8730336e-05,0.05240913,6.67,0
72,72,V838 Monocerotis,"019,896","15,000",380750,"15,000",0.0,0.0,6.75,1.6002737728947686e+33
73,73,HD 140283,0190,3.83,1.4,3.83,0.0036560720399999996,0.14386819999999995,7.25,7.509302787513821e+31
74,74,II Pegasi,0130,1.06,3.4,1.06,0.0010118632800000002,0.3493942,7.4,0
75,75,VY Canis Majoris,"03,900","178,000 - 270,000","1420","178,000 - 270,000",0.0,0.0,8.05,0.0
76,76,Pistol Star,"025,000","1,700,000",320,"1,700,000",0.0,32.884159999999994,8.3,0.0
77,77,S Doradus,"0169,000","910,000",380,"910,000",0.0,39.04994,8.6,0.0
78,78,UY Scuti,"05,100","86,30087,100",755,"86,300 - 87,100",0.0,77.58606499999998,8.9,7.1657167637455e+31
79,79,Barnard's Star,05.98,0.0035,0.20,0.0035,3.3410579999999998e-06,0.020552599999999997,9.5,0
80,80,Luhman 16,06.52,0,0,0,0.0,0.0,10.7,6.187539554726277e+31
81,81,Proxima Centauri,04.25,0.0017,0.15,0.0017,1.6227996000000002e-06,0.015414449999999996,11.13,1.5352646990788532e+33
82,82,KIC 8462852,"01,470",4.68,1.58,4.68,0.00446747184,0.16236554,11.71,0.0
83,83,R136a1,"0163,000","8,710,000",32,"8,710,000",0.0,3.2884160000000002,12.23,0.0
84,84,Melnick 42,"0163,000","3,600,000",21.1,"3,600,000",0.0,2.1682992999999997,12.78,0.0
85,85,WR 102,"018,134","282,000",0.39,"282,000",0.0,0.04007757,14.10,0.0
86,86,VFTS 352,"0164,000","330,000",14.47,"330,000",0.0,1.48698061,14.38,8.188555020298906e+32
87,87,YBP 1194,"02,772",0.98,0.99,0.98,0.0009354962400000001,0.10173537,14.68,6.128115405341144e+31
88,88,Gliese 1214,047.5,0.0033,0.21,0.0033,3.1501403999999997e-06,0.02158023,14.71,0
89,89,NML Cygni,"05,251","229,000","16402770","229,000",0.0,0.0,16.6,3.275756234855086e+31
90,90,VB 10,018.72,0.0004,0.10,0.0004,3.818352e-07,0.010276299999999999,17.30,0
WOH G64,"0163000","340589,000",5401,730,340589,000",0.0,0.0,18.46,2.8435383983117057e+31
92,92,TRAPPIST-1,039.6,0.0005,0.12,0.0005,4.77294e-07,0.012331559999999998,18.80,1.4394548084476788e+31
93,93,2MASS J0523-1403,040.3,0.00013,0.086,0.00013,1.2409643999999998e-07,0.008837617999999998,21.05,0
94,94,WISE 0855−0714,07.27,0,0,0,0.0,0.0,25,0
95,95,Icarus,"014,400,000,000","850,000",0,"850,000",0.0,0.0,28.4,extra
